Date,Positive_nlikes,Positive_nreplies,Positive_nretweets,Negative_nlikes,Negative_nreplies,Negative_nretweets,Neutral_nlikes,Neutral_nreplies,Neutral_nretweets,Total_Positive,Total_Negative,Total_Neutral
2020-06-25,13789,2273,4224,15681,1187,5222,11464,1836,4062,20286,22090,17362
2020-06-26,23803,2863,7878,8371,1092,3457,5594,874,2364,34544,12920,8832
2020-06-27,14443,1560,8835,34321,1697,12588,8307,759,3373,24838,48606,12439
2020-06-28,41804,3341,14531,12187,1307,4592,10714,1137,5861,59676,18086,17712
2020-06-29,31573,2188,11314,12341,1218,3982,13672,1310,5769,45075,17541,20751
2020-06-30,26006,2754,8361,14376,1311,4683,14778,1521,5930,37121,20370,22229
2020-07-01,23505,2754,8667,14511,2166,5180,12364,2555,5292,34926,21857,20211
2020-07-02,17394,2476,7854,16734,1131,5358,9552,1294,3782,27724,23223,14628
2020-07-03,19932,2171,9661,11805,1519,4827,12885,1106,5546,31764,18151,19537
2020-07-04,10935,1023,5262,12681,1108,4142,4843,799,2277,17220,17931,7919
2020-07-05,13886,2093,4987,10696,937,4954,9717,1161,3743,20966,16587,14621
2020-07-06,16260,1471,5173,7437,821,3692,5982,656,2845,22904,11950,9483
2020-07-07,19752,2001,6846,11931,944,3852,10211,1080,5249,28599,16727,16540
2020-07-08,20848,2028,7183,15844,1438,5411,9907,1154,4596,30059,22693,15657
2020-07-09,14020,1404,4729,17960,1431,6783,12126,834,5516,20153,26174,18476
2020-07-10,18072,1521,7170,9724,1178,3640,11540,1194,3274,26763,14542,16008
2020-07-11,11687,1106,4724,3413,604,1111,5932,799,2814,17517,5128,9545
2020-07-12,17708,1336,5812,8992,904,3386,5479,649,3151,24856,13282,9279
2020-07-13,17488,2348,9857,8808,965,2770,7963,1092,4100,29693,12543,13155
2020-07-14,15497,1709,5160,8751,887,3105,10493,1171,5077,22366,12743,16741
2020-07-15,16738,2012,6566,29161,1483,9723,14606,2033,5176,25316,40367,21815
2020-07-16,50704,8649,23130,25351,2400,11876,22419,2322,10752,82483,39627,35493
2020-07-17,22138,2225,8362,9114,949,3201,20062,1451,6475,32725,13264,27988
2020-07-18,10154,1416,3346,19470,977,8928,4419,480,1922,14916,29375,6821
2020-07-19,10593,1487,3491,10503,1002,3796,8496,747,3035,15571,15301,12278
2020-07-20,15102,1643,7383,10939,1267,4969,5960,666,2992,24128,17175,9618
2020-07-21,56918,4608,19261,41201,2719,19647,31016,2851,14005,80787,63567,47872
2020-07-22,31570,3942,12631,17796,2178,5725,10162,1650,4259,48143,25699,16071
2020-07-23,24697,4077,8984,17645,2093,5398,45495,4351,18007,37758,25136,67853
2020-07-24,20635,2183,8437,7973,1021,3632,7561,1223,3211,31255,12626,11995
2020-07-25,10536,1295,5237,10706,1410,3968,7308,843,4418,17068,16084,12569
2020-07-26,15937,2081,4670,8543,1159,2654,6736,1216,2811,22688,12356,10763
2020-07-27,9550,1443,3848,6913,1256,2866,8981,1301,4927,14841,11035,15209
