Date,Positive_nlikes,Positive_nreplies,Positive_nretweets,Negative_nlikes,Negative_nreplies,Negative_nretweets,Neutral_nlikes,Neutral_nreplies,Neutral_nretweets,Total_nlikes,Total_nreplies,Total_nretweets
2020-07-03,8402,374,1375,9097,281,2590,3225,192,774,20724,847,4739
2020-07-04,4224,300,913,2769,242,637,490,65,81,7483,607,1631
2020-07-05,4553,355,869,8354,300,1627,12636,210,2920,25543,865,5416
2020-07-06,5240,471,852,3888,336,552,5826,297,1577,14954,1104,2981
2020-07-07,5267,633,1026,3363,337,705,1547,199,354,10177,1169,2085
2020-07-08,3099,367,658,3908,282,308,1433,137,311,8440,786,1277
2020-07-09,12354,840,1867,4650,323,1008,949,118,152,17953,1281,3027
2020-07-10,3566,458,692,6409,238,584,2208,131,707,12183,827,1983
2020-07-11,2827,275,644,1004,160,148,829,128,195,4660,563,987
2020-07-12,3474,356,779,2178,275,545,1289,189,209,6941,820,1533
2020-07-13,3012,331,683,3567,335,881,880,140,357,7459,806,1921
2020-07-14,3652,370,872,4352,3519,1150,1725,156,280,9729,4045,2302
2020-07-15,4410,366,1088,1818,190,560,1749,256,655,7977,812,2303
2020-07-16,6914,492,1019,2074,231,512,1003,100,219,9991,823,1750
2020-07-17,2185,332,398,3747,210,794,904,283,195,6836,825,1387
2020-07-18,2690,220,668,1749,140,379,431,45,128,4870,405,1175
2020-07-19,3531,315,566,1306,170,204,474,61,103,5311,546,873
2020-07-20,5139,354,1300,1734,220,309,2463,111,903,9336,685,2512
2020-07-21,4602,391,735,1093,107,138,721,127,210,6416,625,1083
2020-07-22,1917,240,379,1831,169,858,930,117,194,4678,526,1431
2020-07-23,3261,311,737,1527,143,1048,443,71,116,5231,525,1901
2020-07-24,5838,584,1209,1029,146,112,523,57,132,7390,787,1453
2020-07-25,6416,417,753,1494,170,430,1306,110,318,9216,697,1501
2020-07-26,3712,479,963,2616,179,1378,1410,530,325,7738,1188,2666
2020-07-27,1658,264,267,1616,119,299,4358,100,675,7632,483,1241
2020-07-28,2867,244,603,1841,151,708,1021,95,304,5729,490,1615
2020-07-29,3065,445,877,1885,229,353,501,125,69,5451,799,1299
2020-07-30,3256,722,610,865,231,80,1192,189,233,5313,1142,923
2020-07-31,3341,352,539,669,143,207,1375,115,474,5385,610,1220
2020-08-01,4340,228,783,6271,202,1115,880,92,216,11491,522,2114
2020-08-02,2574,251,498,1263,148,362,974,78,212,4811,477,1072
2020-08-03,6705,424,1815,1699,239,654,3122,108,2066,11526,771,4535
2020-08-04,3895,389,1046,2143,215,433,1248,87,258,7286,691,1737
2020-08-05,1917,356,445,876,229,103,2040,117,233,4833,702,781
2020-08-06,3778,468,877,2276,255,691,1462,135,238,7516,858,1806
2020-08-07,4287,389,639,5127,317,1002,247,93,47,9661,799,1688
2020-08-08,2061,322,152,1174,125,137,1943,328,777,5178,775,1066
2020-08-09,3124,363,466,645,231,138,592,72,115,4361,666,719
2020-08-10,3735,301,912,2079,414,663,1773,83,372,7587,798,1947
2020-08-11,2079,309,461,1142,164,160,1275,107,301,4496,580,922
2020-08-12,1596,232,303,2466,221,509,570,64,128,4632,517,940
2020-08-13,20604,737,2916,1616,242,312,1304,177,267,23524,1156,3495
2020-08-14,5693,507,736,1365,137,195,472,61,48,7530,705,979
2020-08-15,2772,307,569,801,102,127,1773,105,349,5346,514,1045
2020-08-16,6341,279,1063,2910,163,485,1202,64,89,10453,506,1637
2020-08-17,1622,289,456,1160,98,102,1189,118,350,3971,505,908
2020-08-18,1764,258,681,2435,120,774,890,82,675,5089,460,2130
2020-08-19,2882,299,520,719,130,139,883,98,285,4484,527,944
2020-08-20,2773,236,617,792,129,204,438,46,133,4003,411,954
2020-08-21,3691,232,793,853,110,170,1383,87,248,5927,429,1211
2020-08-22,2187,211,297,1424,113,242,596,42,228,4207,366,767
2020-08-23,3907,431,530,4394,189,277,505,62,78,8806,682,885
2020-08-24,1155,206,250,1855,341,568,494,61,79,3504,608,897
2020-08-25,2283,234,359,2160,315,570,5548,2948,1254,9991,3497,2183
2020-08-26,2531,260,560,1492,152,108,740,84,152,4763,496,820
2020-08-27,4384,356,871,1019,115,203,2884,168,555,8287,639,1629
2020-08-28,4338,369,1057,1656,163,288,3791,778,2555,9785,1310,3900
2020-08-29,5851,416,1356,1624,169,333,462,90,97,7937,675,1786
2020-08-30,1552,206,276,1374,272,321,306,69,105,3232,547,702
2020-08-31,2615,222,777,970,142,237,307,59,43,3892,423,1057
2020-09-01,2232,187,478,588,114,107,423,87,130,3243,388,715
2020-09-02,1640,205,428,483,91,90,727,74,241,2850,370,759
2020-09-03,15017,1823,2556,6703,395,1083,1801,287,384,23521,2505,4023
2020-09-04,17938,1276,3460,2735,469,588,3223,195,561,23896,1940,4609
2020-09-05,4556,295,635,1237,717,334,3094,204,737,8887,1216,1706
2020-09-06,2803,477,563,975,194,331,880,144,327,4658,815,1221
2020-09-07,12803,849,2869,1387,244,234,615,59,124,14805,1152,3227
2020-09-08,4193,729,834,7919,187,362,608,79,104,12720,995,1300
2020-09-09,2197,375,589,936,111,252,299,35,84,3432,521,925
2020-09-10,4209,410,1194,1320,194,508,396,55,143,5925,659,1845
2020-09-11,2411,266,692,565,59,93,736,57,180,3712,382,965
2020-09-12,5814,774,698,776,123,169,285,36,102,6875,933,969
2020-09-13,1335,202,263,751,126,137,250,59,33,2336,387,433
2020-09-14,6609,508,1988,8302,682,512,830,90,253,15741,1280,2753
2020-09-15,4168,406,1132,1671,306,655,2473,181,805,8312,893,2592
2020-09-16,5415,423,1642,2699,147,464,5805,243,1926,13919,813,4032
2020-09-17,6784,361,2483,1880,169,402,2297,213,544,10961,743,3429
2020-09-18,5020,675,1128,2893,169,415,972,106,287,8885,950,1830
2020-09-19,2423,236,542,3165,246,1902,892,67,230,6480,549,2674
2020-09-20,27281,1168,12279,8335,458,3556,5741,488,2529,41357,2114,18364
